광역	시군구	읍면동	투표소	선거인수	투표인수	기권수	무효표	계	더불어민주당	자유한국당	국민의당	바른정당	정의당	새누리당	경제애국당	국민대통합당	늘푸른한국당	민중연합당	한국국민당	혹익당	무소속
서울특별시	중랑구	묵제1동	소계	25544	19872	5672	74	19798	8361	4267	4593	1305	1195	20	2	12	1	8	6	9	19
서울특별시	중랑구	묵제2동	소계	15824	11725	4099	37	11688	4857	2544	2867	634	746	22	1	4	3	3	1	4	2
서울특별시	중랑구	망우본동	소계	26338	18851	7487	53	18798	7173	5094	4316	1070	1071	27	2	7	7	8	5	2	16
서울특별시	중랑구	망우제3동	소계	15247	10650	4597	28	10622	4194	2472	2625	580	699	15	0	10	0	10	4	4	9
서울특별시	중랑구	신내제1동	소계	28791	22536	6255	53	22483	9301	4958	5402	1481	1274	22	5	7	4	9	7	6	7
서울특별시	중랑구	신내제2동	소계	20621	17104	3517	45	17059	7549	3435	3773	1174	1073	20	0	5	6	6	2	7	9
서울특별시	성북구	거소·선상투표	거소·선상투표	494	463	31	11	452	169	71	154	26	23	3	1	1	1	1	0	0	2
서울특별시	성북구	관외사전투표	관외사전투표	34776	34766	10	141	34625	16872	4789	6966	2702	3139	50	5	24	8	27	8	5	30
서울특별시	성북구	재외투표	재외투표	4235	3256	979	10	3246	1914	254	517	122	419	16	0	1	0	1	1	1	0
서울특별시	성북구	성북동	소계	13649	10320	3329	23	10297	4425	2279	2010	698	844	14	0	7	4	8	2	2	4
서울특별시	성북구	삼선동	소계	22486	17327	5159	40	17287	7800	3084	3829	1159	1349	20	2	10	5	7	1	11	10
서울특별시	성북구	동선동	소계	12614	9699	2915	32	9667	4436	1718	1857	770	853	8	1	4	1	5	0	5	9
서울특별시	성북구	돈암제1동	소계	12822	10255	2567	33	10222	4276	2134	2408	698	664	11	2	4	3	12	2	6	2
서울특별시	성북구	돈암제2동	소계	16854	13703	3151	39	13664	5882	2831	2942	1059	914	13	1	8	3	4	1	3	3
서울특별시	성북구	안암동	소계	12599	9585	3014	40	9545	4121	1703	2029	827	822	21	1	1	2	6	3	3	6
서울특별시	성북구	보문동	소계	12421	9110	3311	34	9076	4035	1723	2089	596	605	12	2	4	0	2	1	1	6
서울특별시	성북구	정릉제1동	소계	13683	10828	2855	32	10796	4700	2224	2432	729	676	10	1	8	2	3	0	5	6
