광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	정당	득표수
대구광역시	2700	달서구	432607	206958	204900	2058	225649	민주노동당	19744
대구광역시	2700	달성군	116057	64167	62576	1591	51890	민주노동당	8224
대구광역시	2700	중구	66126	35272	34443	829	30854	국민중심당	335
대구광역시	2700	동구	267710	129209	127442	1767	138501	국민중심당	985
대구광역시	2700	서구	194812	92265	90897	1368	102547	국민중심당	1008
대구광역시	2700	남구	145954	70018	69000	1018	75936	국민중심당	531
대구광역시	2700	북구	341531	159684	157841	1843	181847	국민중심당	1314
대구광역시	2700	수성구	320246	157444	155769	1675	162802	국민중심당	1069
대구광역시	2700	달서구	432607	206958	204900	2058	225649	국민중심당	1521
대구광역시	2700	달성군	116057	64167	62576	1591	51890	국민중심당	1017
인천광역시	2800	중구	72876	34797	34232	565	38079	열린우리당	6974
인천광역시	2800	동구	61515	30819	30244	575	30696	열린우리당	5687
인천광역시	2800	남구	327614	140572	138590	1982	187042	열린우리당	27690
인천광역시	2800	연수구	191076	88040	87180	860	103036	열린우리당	17247
인천광역시	2800	남동구	284121	123414	122009	1405	160707	열린우리당	24788
인천광역시	2800	부평구	425004	181468	179314	2154	243536	열린우리당	35468
인천광역시	2800	계양구	239585	100433	99398	1035	139152	열린우리당	23410
인천광역시	2800	서구	271645	114475	113111	1364	157170	열린우리당	24578
인천광역시	2800	강화군	53699	35401	33837	1564	18298	열린우리당	6750
인천광역시	2800	옹진군	13268	10165	9798	367	3103	열린우리당	2439
인천광역시	2800	중구	72876	34797	34232	565	38079	한나라당	20757
인천광역시	2800	동구	61515	30819	30244	575	30696	한나라당	17334
인천광역시	2800	남구	327614	140572	138590	1982	187042	한나라당	84647
인천광역시	2800	연수구	191076	88040	87180	860	103036	한나라당	54617
인천광역시	2800	남동구	284121	123414	122009	1405	160707	한나라당	69255
인천광역시	2800	부평구	425004	181468	179314	2154	243536	한나라당	98520
인천광역시	2800	계양구	239585	100433	99398	1035	139152	한나라당	54356
인천광역시	2800	서구	271645	114475	113111	1364	157170	한나라당	63108
인천광역시	2800	강화군	53699	35401	33837	1564	18298	한나라당	21717
인천광역시	2800	옹진군	13268	10165	9798	367	3103	한나라당	6104
인천광역시	2800	중구	72876	34797	34232	565	38079	민주당	2607
인천광역시	2800	동구	61515	30819	30244	575	30696	민주당	1933
