광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	국민실향안보당	기독당	문화예술당	민주노동당	시민당	신미래당	자유선진당	직능연합당	진보신당	창조한국당	친박연대	통합민주당	평화통일가정당	한국사회당	한나라당
전라북도	4500	진안군	23217	12851	12437	414	10366	28	329	16	718	19	15	293	20	231	375	340	8301	623	167	962
전라북도	4500	무주군	20957	11581	11141	440	9376	10	258	13	604	11	15	318	19	172	266	336	7246	361	108	1404
전라북도	4500	장수군	20101	11048	10648	400	9053	20	221	30	817	27	16	294	23	218	230	379	6653	715	161	844
전라북도	4500	임실군	26879	13767	13391	376	13112	25	374	42	847	32	17	663	29	233	265	339	8842	459	185	1039
전라북도	4500	순창군	25178	16100	15545	555	9078	62	858	111	1255	62	37	170	49	172	217	611	9564	1263	209	905
전라북도	4500	고창군	49730	23737	22929	808	25993	35	764	52	1598	51	25	363	36	273	388	646	15774	1078	222	1624
전라북도	4500	부안군	50515	23556	22862	694	26959	33	694	42	1536	31	23	367	38	384	458	533	14937	493	170	3123
전라남도	4600	목포시	179322	87447	85453	1994	91875	3065	3320	145	8741	159	68	718	70	1457	2048	1207	59219	975	176	4085
전라남도	4600	여수시	223177	96153	94283	1870	127024	450	3798	134	6674	96	51	855	118	2382	2320	1528	66563	3292	352	5670
전라남도	4600	순천시	196170	85086	83502	1584	111084	73	3625	91	9737	83	53	811	109	1890	2687	1637	55377	2292	287	4750
전라남도	4600	나주시	77569	40867	39827	1040	36702	52	589	44	5555	48	38	357	56	417	725	444	28573	857	252	1820
전라남도	4600	광양시	98762	46718	45996	722	52044	57	1936	70	6274	53	24	734	46	941	1614	1413	26582	610	167	5475
전라남도	4600	담양군	41211	20468	19844	624	20743	21	452	27	1293	19	16	242	22	242	400	408	14365	508	177	1652
전라남도	4600	장성군	38498	18518	18105	413	19980	295	406	27	1016	34	15	176	15	212	490	377	13098	610	144	1190
전라남도	4600	곡성군	27362	15349	14778	571	12013	27	348	28	1221	34	23	166	14	166	242	430	9556	858	171	1494
전라남도	4600	구례군	23033	12340	12003	337	10693	15	388	21	878	19	9	134	10	115	206	292	8300	695	59	862
전라남도	4600	고흥군	66032	42078	40001	2077	23954	2153	837	77	2883	109	54	384	57	432	584	485	28568	528	492	2358
전라남도	4600	보성군	42180	24358	23517	841	17822	1083	483	66	4234	65	33	230	54	249	415	365	13540	558	227	1915
전라남도	4600	화순군	55187	28213	27526	687	26974	47	641	53	4481	26	38	350	113	379	748	400	17059	796	246	2149
전라남도	4600	장흥군	35284	18201	17699	502	17083	118	989	40	2749	48	21	281	56	200	387	281	10657	660	161	1051
전라남도	4600	강진군	33455	16798	16253	545	16657	177	745	58	1362	33	17	226	39	226	338	425	10666	681	140	1120
전라남도	4600	완도군	46116	25765	24467	1298	20351	2579	606	64	1630	82	48	241	39	228	381	345	15925	958	215	1126
전라남도	4600	해남군	66838	34016	32866	1150	32822	1020	896	70	3288	103	44	384	72	437	617	617	22378	799	283	1858
전라남도	4600	진도군	28856	14804	14263	541	14052	761	399	43	1143	42	20	138	16	169	249	205	9803	277	158	840
전라남도	4600	영암군	47102	22368	21758	610	24734	231	567	33	2045	38	24	298	29	379	485	365	15393	353	148	1370
전라남도	4600	무안군	52690	30740	29538	1202	21950	124	1906	1317	2686	122	65	312	127	386	634	569	17835	1411	396	1648
