광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	가자희망2080	공화당	구국총연합	국민통합21	기독당	노년권익보호당	녹색사민당	민주노동당	민주화합당	사회당	새천년민주당	열린우리당	자민련	한나라당
경기도	4100	양평군	64872	41517	40406	1111	23355	47	51	24	158	401	98	126	3448	106	180	1554	14043	577	19593
경기도	4100	가평군	42270	26189	25503	686	16081	27	39	23	94	292	72	108	2328	81	119	1381	9324	424	11191
강원도	4200	춘천시	185716	112501	110760	1741	73215	110	160	41	729	1115	267	669	16268	178	289	2346	42927	1404	44257
강원도	4200	원주시	201799	118634	116854	1780	83165	152	202	578	750	1136	261	560	17806	229	529	2491	47285	1625	43250
강원도	4200	강릉시	169603	97597	95972	1625	72006	105	98	33	579	871	243	693	10919	169	260	2961	32778	1073	45190
강원도	4200	동해시	74762	43724	42901	823	31038	37	49	13	214	360	69	421	5838	62	121	726	14338	489	20164
강원도	4200	삼척시	57995	35189	34251	938	22806	43	57	25	268	286	70	181	4020	141	204	649	11925	493	15889
강원도	4200	태백시	41280	23018	22615	403	18262	33	29	15	323	148	46	203	3335	44	64	389	7960	194	9832
강원도	4200	정선군	36286	20904	20290	614	15382	47	34	18	177	121	58	171	2262	77	132	541	8292	295	8065
강원도	4200	속초시	64113	35741	35122	619	28372	32	38	11	187	312	72	128	3739	57	64	2078	13148	487	14769
강원도	4200	고성군	25487	15804	15355	449	9683	13	28	10	112	111	47	63	1214	53	70	1361	5500	272	6501
강원도	4200	양양군	23101	14802	14242	560	8299	25	34	17	219	131	36	58	1291	53	78	850	5354	238	5858
강원도	4200	인제군	23925	15311	14810	501	8614	15	24	11	73	160	52	51	1475	88	93	796	6698	187	5087
강원도	4200	홍천군	53846	35108	34047	1061	18738	50	72	27	220	343	89	191	3726	100	150	1183	15076	507	12313
강원도	4200	횡성군	34699	21773	21109	664	12926	33	64	20	243	250	60	117	2758	147	131	1648	8258	302	7078
강원도	4200	영월군	34135	20766	20282	484	13369	49	47	17	165	207	56	132	2212	87	115	480	8151	301	8263
강원도	4200	평창군	35686	20372	19877	495	15314	71	35	26	192	182	56	127	2277	64	125	444	8355	284	7639
강원도	4200	화천군	18506	12085	11693	392	6421	23	20	8	60	129	23	44	1372	65	54	1118	4497	180	4100
강원도	4200	양구군	16246	10356	10032	324	5890	11	23	9	52	148	37	65	1142	88	56	944	4150	161	3146
강원도	4200	철원군	37370	23687	23015	672	13683	23	38	13	147	241	62	85	3255	134	76	2217	8230	362	8132
충청북도	4300	청주시상당구	176682	100402	99297	1105	76280	210	88	26	318	1093	149	845	13951	107	128	1874	43504	4495	32509
충청북도	4300	청주시흥덕구	255995	145132	143749	1383	110863	186	97	28	610	1766	209	1358	23172	151	159	2468	63042	7188	43315
충청북도	4300	충주시	152966	90887	88835	2052	62079	77	169	72	369	997	232	657	10680	247	315	1908	40325	4224	28563
충청북도	4300	제천시	104008	62211	61024	1187	41797	109	87	30	316	558	138	558	7838	144	205	1551	25299	2225	21966
충청북도	4300	단양군	27711	17144	16705	439	10567	43	42	18	92	167	40	91	1654	58	101	562	6918	626	6293
충청북도	4300	청원군	92071	51950	50674	1276	40121	217	89	52	501	564	146	306	5943	137	190	1013	24705	3914	12897
충청북도	4300	영동군	42165	27062	26200	862	15103	33	50	19	139	285	62	142	2687	91	155	675	9894	1163	10805
충청북도	4300	보은군	30718	19567	18900	667	11151	33	60	25	131	155	66	98	1904	100	102	719	9304	1347	4856
충청북도	4300	옥천군	44731	28924	27861	1063	15807	47	87	30	182	247	71	263	3124	115	149	871	14562	2036	6077
충청북도	4300	음성군	63193	34596	33689	907	28597	40	90	41	142	324	88	198	3916	126	139	780	15944	3624	8237
충청북도	4300	진천군	44052	24989	24312	677	19063	34	50	25	134	231	56	151	3027	90	151	516	10613	4068	5166
충청북도	4300	괴산군	32772	19475	18806	669	13297	28	38	26	123	175	51	98	2081	94	154	389	8259	2406	4884
충청북도	4300	증평군	22786	12399	12170	229	10387	11	17	10	60	147	39	70	1249	42	55	250	5535	1762	2923
충청남도	4400	천안시	322826	178622	176474	2148	144204	319	243	133	612	2067	239	1099	24794	198	275	5841	70735	23162	46757
충청남도	4400	공주시	98946	54356	53214	1142	44590	61	98	27	238	499	88	275	4638	144	263	1166	21288	15199	9230
충청남도	4400	보령시	83462	48854	47343	1511	34608	684	198	38	254	540	129	233	4144	152	154	1461	16853	14618	7885
충청남도	4400	아산시	141653	75106	73786	1320	66547	216	102	34	433	873	168	278	11268	116	158	1944	28085	13971	16140
충청남도	4400	서산시	108756	60925	59558	1367	47831	71	95	37	372	727	120	224	6825	159	183	1855	21705	18704	8481
충청남도	4400	태안군	49862	27513	26624	889	22349	45	79	25	223	280	68	106	2017	121	104	848	10863	8131	3714
충청남도	4400	금산군	47622	25359	24626	733	22263	59	83	30	216	271	52	111	1772	108	127	541	11445	4845	4966
충청남도	4400	연기군	62346	34496	33618	878	27850	35	60	17	135	359	70	347	3120	114	111	1563	16025	5509	6153
충청남도	4400	논산시	102667	57584	56239	1345	45083	112	136	42	379	663	101	245	4598	133	145	1365	23638	17042	7640
충청남도	4400	계룡시	20467	12779	12679	100	7688	16	9	4	50	171	24	39	986	10	16	495	5309	1529	4021
충청남도	4400	부여군	66138	37816	36663	1153	28322	33	60	23	175	397	92	138	2626	147	291	609	11804	16483	3785
충청남도	4400	서천군	53199	30704	29812	892	22495	159	526	36	170	407	67	162	2410	101	133	810	12511	7414	4906
충청남도	4400	홍성군	70002	42386	41189	1197	27616	161	102	35	211	430	72	133	3075	101	138	834	11612	12196	12089
충청남도	4400	청양군	29117	16670	16019	651	12447	27	37	28	64	136	36	79	1082	92	195	223	4688	7011	2321
충청남도	4400	예산군	72960	42288	41144	1144	30672	812	88	41	274	476	83	223	2936	133	193	762	10645	7102	17376
충청남도	4400	당진군	87728	48114	47076	1038	39614	131	99	35	280	748	78	206	4809	115	107	1519	17963	11783	9203
전라북도	4500	전주시완산구	241700	151867	150389	1478	89833	159	77	29	399	870	154	663	15603	272	137	19786	106897	709	4634
전라북도	4500	전주시덕진구	196868	120067	118990	1077	76801	80	54	20	282	694	122	526	14643	171	107	13566	84511	622	3592
전라북도	4500	군산시	196229	108680	106974	1706	87549	67	84	45	256	1096	146	633	13371	414	146	12433	73263	912	4108
전라북도	4500	익산시	233927	135036	132976	2060	98891	180	102	39	535	1278	210	591	15540	422	188	16775	91266	1040	4810
전라북도	4500	정읍시	102868	66807	65308	1499	36061	235	136	74	847	523	172	481	6820	455	216	11077	41338	1241	1693
전라북도	4500	남원시	74036	48911	47848	1063	25125	673	101	56	240	356	71	189	3804	271	160	6437	33269	611	1610
전라북도	4500	김제시	84821	53785	52628	1157	31036	95	99	53	273	446	1139	232	5233	343	257	6506	35493	610	1849
전라북도	4500	완주군	64477	39679	38970	709	24798	751	114	107	203	323	117	189	5305	166	125	3974	25842	630	1124
전라북도	4500	진안군	23361	15377	14880	497	7984	24	28	13	67	131	42	66	1330	167	106	1474	10599	150	683
전라북도	4500	무주군	21246	13893	13430	463	7353	21	30	18	72	98	27	86	1196	148	114	1520	9057	180	863
전라북도	4500	장수군	20450	13218	12722	496	7232	13	33	17	73	102	33	52	1242	158	117	1587	8554	165	576
전라북도	4500	임실군	27535	17829	17215	614	9706	14	26	15	88	77	36	81	1258	245	156	2580	11795	176	668
전라북도	4500	순창군	25209	17409	16902	507	7800	169	48	42	468	126	50	94	1398	138	100	1690	11728	302	549
전라북도	4500	고창군	52471	33503	32598	905	18968	195	963	86	403	240	106	132	2979	386	117	8651	17029	326	985
전라북도	4500	부안군	53674	32106	31099	1007	21568	112	150	90	1721	238	142	223	5373	283	139	7776	13070	431	1351
전라남도	4600	목포시	171129	96956	95406	1550	74173	68	49	28	418	854	113	730	11091	590	160	38456	40594	409	1846
전라남도	4600	여수시	222843	132133	129754	2379	90710	127	129	66	570	1543	206	957	17800	655	237	31111	71872	904	3577
전라남도	4600	순천시	187972	117085	115167	1918	70887	241	767	58	327	1040	157	519	15145	510	224	33002	59888	574	2715
전라남도	4600	나주시	79352	53231	51440	1791	26121	100	123	85	2611	402	177	281	6602	725	341	17026	21193	442	1332
전라남도	4600	광양시	92480	59513	58653	860	32967	38	43	18	178	519	90	315	9385	224	114	12690	31232	443	3364
전라남도	4600	담양군	40977	26692	26025	667	14285	23	43	28	127	147	52	93	2379	250	125	8796	13147	210	605
전라남도	4600	장성군	40320	25718	25009	709	14602	28	40	24	107	142	42	91	1921	226	100	9560	11676	242	810
전라남도	4600	곡성군	28297	19432	18702	730	8865	16	29	19	158	137	38	49	1830	213	138	6730	8655	189	501
전라남도	4600	구례군	24275	16033	15635	398	8242	38	60	16	72	121	28	59	1616	150	71	4582	8182	181	459
전라남도	4600	고흥군	72610	50388	48381	2007	22222	146	107	122	510	452	101	215	3607	695	280	19107	20795	782	1462
전라남도	4600	보성군	44584	31869	30488	1381	12715	86	140	162	336	398	116	238	3915	546	203	9968	11257	2097	1026
전라남도	4600	화순군	57167	35657	34800	857	21510	44	53	43	728	261	59	201	3697	288	161	9564	18692	298	711
전라남도	4600	장흥군	36996	24584	23734	850	12412	309	224	41	229	274	53	112	2606	402	126	9521	8832	261	744
전라남도	4600	강진군	35053	23394	22623	771	11659	22	36	29	127	165	30	76	1953	242	99	9352	9402	266	824
전라남도	4600	완도군	47987	32461	31180	1281	15526	44	57	28	159	284	49	124	2126	421	157	11439	15219	262	811
