광역	시군구	읍면동	투표소	선거인수	투표인수	기권수	무효표	계	더불어민주당	자유한국당	국민의당	바른정당	정의당	새누리당	경제애국당	국민대통합당	늘푸른한국당	민중연합당	한국국민당	혹익당	무소속
충청남도	천안시서북구	합계	합계	285471	212329	73142	790	211539	94202	37293	47891	14613	16591	234	40	125	60	119	89	73	209
충청남도	천안시동남구	합계	합계	207268	151132	56136	688	150444	59695	34869	34933	9089	11067	189	35	130	57	84	66	82	148
충청남도	공주시	합계	합계	93453	67018	26435	400	66618	25036	18449	15814	2948	3852	82	24	58	31	77	57	82	108
충청남도	보령시	합계	합계	87274	62825	24449	438	62387	20674	19453	15428	2819	3546	74	16	68	27	65	51	64	102
충청남도	아산시	합계	합계	236407	173795	62612	765	173030	73461	36741	38368	10252	13340	203	41	132	54	105	64	85	184
충청남도	서산시	합계	합계	137217	98859	38358	484	98375	37376	24572	23237	5520	7016	96	25	93	28	137	64	78	133
충청남도	태안군	합계	합계	55379	38740	16639	271	38469	12881	12666	8940	1626	2093	39	5	31	12	42	39	47	48
충청남도	금산군	합계	합계	46637	32968	13669	251	32717	11182	9416	8787	1312	1679	39	19	37	15	49	50	45	87
충청남도	논산시	합계	합계	103557	72434	31123	397	72037	28265	16948	18844	3503	3897	82	21	87	31	117	57	62	123
충청남도	계룡시	합계	합계	32653	26530	6123	108	26422	9566	6261	6722	2222	1502	34	6	20	6	35	6	13	29
충청남도	당진시	합계	합계	134586	95417	39169	433	94984	37191	23597	20852	4907	7638	107	24	177	31	221	45	68	126
충청남도	부여군	합계	합계	61041	43288	17753	286	43002	13492	13761	11022	1881	2382	52	18	33	23	76	66	90	106
충청남도	서천군	합계	합계	48975	34889	14086	211	34678	12554	9891	8744	1551	1647	37	9	47	10	44	37	43	64
충청남도	홍성군	합계	합계	82972	59645	23327	320	59325	21021	16682	14251	3133	3845	61	18	50	17	39	57	77	74
충청남도	청양군	합계	합계	28528	20667	7861	135	20532	6185	7104	5140	826	1080	28	7	22	11	15	24	48	42
충청남도	예산군	합계	합계	70494	49668	20826	281	49387	13880	18911	11243	2319	2693	58	16	38	16	35	31	68	79
전라북도	전주시완산구	합계	합계	289452	236383	53069	727	235656	157637	7003	50506	6977	12678	74	40	300	36	128	44	73	160
전라북도	전주시덕진구	합계	합계	230552	187921	42631	500	187421	125375	5183	40188	5286	10773	54	23	154	32	113	34	43	163
전라북도	군산시	합계	합계	223599	172330	51269	505	171825	109379	6360	42387	4638	8397	68	28	109	26	147	59	58	169
전라북도	익산시	합계	합계	246727	192208	54519	730	191478	123422	6470	45737	5324	9644	59	30	136	109	196	51	58	242
전라북도	정읍시	합계	합계	96162	73678	22484	387	73291	45894	2175	20111	1462	3109	32	17	102	35	116	30	38	170
전라북도	남원시	합계	합계	70169	55371	14798	286	55085	35539	1939	13854	1098	2193	32	15	44	21	88	44	54	164
전라북도	김제시	합계	합계	75356	57886	17470	329	57557	35870	2052	15880	1190	2265	22	8	37	21	24	34	37	117
전라북도	완주군	합계	합계	78249	62470	15779	240	62230	41057	2107	13897	1515	3306	20	16	52	13	67	25	35	120
전라북도	진안군	합계	합계	22704	18107	4597	98	18009	11918	819	3904	392	806	12	3	12	2	13	22	23	83
전라북도	무주군	합계	합계	21591	17019	4572	101	16918	10381	1225	3998	434	723	8	4	19	8	23	15	17	63
