광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	국민중심당	민주노동당	민주당	시민당	열린우리당	한나라당	한미준	희망사회당
전라남도	4600	광양시	96951	58742	57522	1220	38209	0	9688	26345	0	16367	5122	0	0
전라남도	4600	담양군	41974	29473	28521	952	12501	0	2451	17373	0	7310	1387	0	0
전라남도	4600	장성군	39626	27749	26799	950	11877	0	3007	16965	0	4929	1898	0	0
전라남도	4600	곡성군	28138	21815	20993	822	6323	0	2747	11446	0	5491	1309	0	0
전라남도	4600	구례군	24281	19122	18517	605	5159	0	2203	10122	0	5150	1042	0	0
전라남도	4600	고흥군	69751	52673	50289	2384	17078	0	3964	33152	0	10878	2295	0	0
전라남도	4600	보성군	44024	33390	31790	1600	10634	0	3847	20736	0	4247	2960	0	0
전라남도	4600	화순군	56833	39819	38538	1281	17014	0	9152	22931	0	4596	1859	0	0
전라남도	4600	장흥군	36549	27015	26069	946	9534	0	6078	14659	0	3698	1634	0	0
전라남도	4600	강진군	34405	24112	23170	942	10293	0	2350	13735	0	5235	1850	0	0
전라남도	4600	완도군	47793	35481	34046	1435	12312	0	1982	21211	0	9442	1411	0	0
전라남도	4600	해남군	68768	50578	48148	2430	18190	0	5477	31152	0	9151	2368	0	0
전라남도	4600	진도군	29821	22634	21345	1289	7187	0	2982	12184	0	4635	1544	0	0
전라남도	4600	영암군	48203	32076	30973	1103	16127	0	3600	18284	0	7594	1495	0	0
전라남도	4600	무안군	50427	36604	35331	1273	13823	0	3218	20621	0	10031	1461	0	0
전라남도	4600	영광군	48577	36303	34871	1432	12274	0	4195	20616	0	7750	2310	0	0
전라남도	4600	함평군	33051	24380	23337	1043	8671	0	3225	15161	0	3603	1348	0	0
전라남도	4600	신안군	40240	30072	28331	1741	10168	0	2907	19451	0	4054	1919	0	0
경상북도	4700	포항시북구	190449	105455	103765	1690	84994	811	10455	1684	0	11741	79074	0	0
경상북도	4700	포항시남구	191369	106550	104756	1794	84819	882	12024	1799	0	13941	76110	0	0
경상북도	4700	울릉군	8429	7196	6959	237	1233	81	411	119	0	1349	4999	0	0
경상북도	4700	경주시	210980	126361	123568	2793	84619	1314	13322	2100	0	13487	93345	0	0
경상북도	4700	김천시	110274	75350	73435	1915	34924	1001	4873	2489	0	7395	57677	0	0
경상북도	4700	안동시	134448	86102	83623	2479	48346	1255	8325	1741	0	11936	60366	0	0
경상북도	4700	구미시	269226	132384	130510	1874	136842	1212	11296	1650	0	16526	99826	0	0
경상북도	4700	영주시	93247	63460	61991	1469	29787	700	6278	1150	0	7940	45923	0	0
경상북도	4700	영천시	86235	55409	53798	1611	30826	725	4094	1115	0	9997	37867	0	0
경상북도	4700	상주시	88983	63160	61094	2066	25823	1199	6065	1709	0	7063	45058	0	0
경상북도	4700	문경시	62743	45415	44071	1344	17328	823	2122	846	0	4367	35913	0	0
경상북도	4700	예천군	42780	33331	32106	1225	9449	1072	2173	842	0	3595	24424	0	0
경상북도	4700	경산시	175092	86528	84840	1688	88564	743	7551	1107	0	10198	65241	0	0
경상북도	4700	청도군	39951	29829	28839	990	10122	460	1765	656	0	3422	22536	0	0
경상북도	4700	고령군	28906	20682	19864	818	8224	345	1945	501	0	2450	14623	0	0
경상북도	4700	성주군	38867	27064	26071	993	11803	336	1614	581	0	3487	20053	0	0
경상북도	4700	칠곡군	82468	44219	43081	1138	38249	603	3641	848	0	5930	32059	0	0
경상북도	4700	군위군	23767	18446	17590	856	5321	360	1396	540	0	2219	13075	0	0
경상북도	4700	의성군	55083	41615	40184	1431	13468	735	3275	977	0	5750	29447	0	0
경상북도	4700	청송군	24481	18777	18018	759	5704	359	1669	516	0	2957	12517	0	0
경상북도	4700	영양군	17011	13680	12985	695	3331	349	1145	456	0	2551	8484	0	0
경상북도	4700	영덕군	37578	27226	26359	867	10352	458	1459	612	0	3596	20234	0	0
경상북도	4700	봉화군	30652	23132	22401	731	7520	551	2033	722	0	3063	16032	0	0
경상북도	4700	울진군	44690	32976	31771	1205	11714	446	1941	671	0	6492	22221	0	0
경상남도	4800	창원시	356493	184107	181813	2294	172386	0	47045	0	0	26878	107890	0	0
경상남도	4800	마산시	326663	171759	168863	2896	154904	0	25601	0	0	23426	119836	0	0
경상남도	4800	진주시	252537	145222	142520	2702	107315	0	25816	0	0	21021	95683	0	0
경상남도	4800	진해시	118111	70222	68742	1480	47889	0	11006	0	0	12107	45629	0	0
경상남도	4800	통영시	102469	60723	59037	1686	41746	0	6700	0	0	9891	42446	0	0
경상남도	4800	고성군	46167	33461	32265	1196	12706	0	6662	0	0	4864	20739	0	0
경상남도	4800	사천시	86136	57391	55796	1595	28745	0	10333	0	0	8642	36821	0	0
경상남도	4800	김해시	315263	150973	148543	2430	164290	0	21067	0	0	41598	85878	0	0
경상남도	4800	밀양시	90362	58411	56745	1666	31951	0	7793	0	0	13909	35043	0	0
경상남도	4800	거제시	142095	75621	73971	1650	66474	0	21132	0	0	12474	40365	0	0
경상남도	4800	의령군	26675	21737	20489	1248	4938	0	5222	0	0	3110	12157	0	0
경상남도	4800	함안군	48706	34249	32892	1357	14457	0	6725	0	0	4813	21354	0	0
경상남도	4800	창녕군	52848	37278	35796	1482	15570	0	5237	0	0	6366	24193	0	0
경상남도	4800	양산시	162544	86359	84460	1899	76185	0	12562	0	0	17123	54775	0	0
경상남도	4800	하동군	42978	31435	30074	1361	11543	0	5163	0	0	7580	17331	0	0
경상남도	4800	남해군	42965	32993	31643	1350	9972	0	3747	0	0	9562	18334	0	0
경상남도	4800	함양군	34178	27658	26630	1028	6520	0	3830	0	0	6439	16361	0	0
경상남도	4800	산청군	30952	23786	22829	957	7166	0	4195	0	0	3312	15322	0	0
경상남도	4800	거창군	50916	35361	33876	1485	15555	0	5212	0	0	4843	23821	0	0
경상남도	4800	합천군	46207	34994	33658	1336	11213	0	6829	0	0	5030	21799	0	0
제주특별자치도	4900	제주시	218768	138709	136192	2517	80059	0	25982	10408	0	35701	64101	0	0
제주특별자치도	4900	북제주군	74387	51649	50221	1428	22738	0	9437	4860	0	14654	21270	0	0
제주특별자치도	4900	서귀포시	62209	43562	42556	1006	18647	0	7685	3747	0	11570	19554	0	0
제주특별자치도	4900	남제주군	56498	43076	41946	1130	13422	0	11226	2775	0	10157	17788	0	0
