광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	국민참여당	미래연합	민주노동당	민주당	사회당	자유선진당	진보신당	친박연합	평화민주당	한나라당
경기도	4100	수원시영통구	183747	101922	100907	1015	81825	14012	1299	4533	38190	168	2108	2786	0	0	37811
경기도	4100	성남시수정구	194233	92333	90843	1490	101900	9009	675	6393	39721	254	1840	1704	0	0	31247
경기도	4100	성남시중원구	205070	97070	95442	1628	108000	9191	632	7042	41281	236	1835	1592	0	0	33633
경기도	4100	성남시분당구	360189	208480	206450	2030	151709	24601	1487	6990	61607	266	3527	5881	0	0	102091
경기도	4100	의정부시	328299	161772	159425	2347	166527	15396	1509	6606	59989	393	2988	4162	0	0	68382
경기도	4100	안양시만안구	208176	111316	109883	1433	96860	9863	1278	5012	45190	245	2850	2265	0	0	43180
경기도	4100	안양시동안구	265963	153907	152375	1532	112056	16399	1665	5920	59949	264	3425	4540	0	0	60213
경기도	4100	부천시원미구	344875	175309	173117	2192	169566	20970	2443	9729	68128	360	4994	4580	0	0	61913
경기도	4100	부천시소사구	180161	92978	91544	1434	87183	10018	1019	5591	35194	201	2853	2152	0	0	34516
경기도	4100	부천시오정구	147313	66954	65977	977	80359	7176	683	3388	28084	189	1951	1229	0	0	23277
경기도	4100	광명시	254601	141128	139286	1842	113473	13836	836	6528	60815	312	3370	4107	0	0	49482
경기도	4100	평택시	309722	157440	154060	3380	152282	9787	1541	12682	55446	551	3989	2396	0	0	67668
경기도	4100	양주시	142110	72826	71139	1687	69284	5301	969	3078	25047	314	1345	1291	0	0	33794
경기도	4100	동두천시	72810	37826	36606	1220	34984	2224	548	1348	12668	158	694	790	0	0	18176
경기도	4100	안산시상록구	275550	128350	126717	1633	147200	14306	1220	6381	52733	285	2569	2476	0	0	46747
경기도	4100	안산시단원구	247026	113211	111715	1496	133815	11372	1315	6062	47220	277	2388	1847	0	0	41234
경기도	4100	고양시덕양구	301056	157176	155068	2108	143880	17263	2283	6683	54830	374	3692	6307	0	0	63636
경기도	4100	고양시일산동구	197585	101814	100773	1041	95771	13237	2461	3451	33583	183	1813	3489	0	0	42556
경기도	4100	고양시일산서구	209252	112948	111722	1226	96304	13106	2342	3892	39024	224	2171	3400	0	0	47563
경기도	4100	과천시	54323	35676	35128	548	18647	4293	619	1189	10210	82	720	2498	0	0	15517
경기도	4100	의왕시	112243	64133	63372	761	48110	5700	872	2588	24994	124	1520	2001	0	0	25573
경기도	4100	구리시	147833	79673	78507	1166	68160	6117	825	2847	31355	207	1464	2220	0	0	33472
경기도	4100	남양주시	404833	197852	195095	2757	206981	16713	3447	7612	74908	551	3110	4431	0	0	84323
